Code	Region	Country	variable	value	region
40	Western Europe	Austria	1872	3.41867	Western Europe
56	Western Europe	Belgium	1872	4.25592	Western Europe
250	Western Europe	France	1872	4.4183	Western Europe
528	Western Europe	Netherlands	1872	5.43849	Western Europe
756	Western Europe	Switzerland	1872	7.38668	Western Europe
372	Western Europe	Ireland	1872	2.02094	Western Europe
578	Western Europe	Norway	1872	5.50548	Western Europe
752	Western Europe	Sweden	1872	5.41208	Western Europe
826	Western Europe	United Kingdom	1872	1.34216	Western Europe
380	Western Europe	Italy	1872	1.72619	Western Europe
620	Western Europe	Portugal	1872	0.452046	Western Europe
724	Western Europe	Spain	1872	3.52816	Western Europe
388	Latin America and Caribbean	Jamaica	1872	1.45594	Latin America and Caribean
780	Latin America and Caribbean	Trinidad and Tobago	1872	1.65789	Latin America and Caribean
328	Latin America and Caribbean	Guyana	1872	0.624418	#N/A
36	Western Offshoots	Australia	1872	2.26383	Western Offshoots
586	South and South-East Asia	Pakistan	1872	0.425854	South and South-East Asia
144	South and South-East Asia	Sri Lanka	1872	0.292168	South and South-East Asia
458	South and South-East Asia	Malaysia	1872	0.208762	South and South-East Asia
104	South and South-East Asia	Myanmar	1872	0.0145319	South and South-East Asia
702	South and South-East Asia	Singapore	1872	0.393739	South and South-East Asia
288	Sub-Saharan Africa	Ghana	1872	0.033726	Sub-Saharan Africa
694	Sub-Saharan Africa	Sierra Leone	1872	0.478436	Sub-Saharan Africa
480	Sub-Saharan Africa	Mauritius	1872	0.856144	Sub-Saharan Africa
40	Western Europe	Austria	1873	3.3692	Western Europe
56	Western Europe	Belgium	1873	4.30413	Western Europe
250	Western Europe	France	1873	4.39827	Western Europe
528	Western Europe	Netherlands	1873	5.56079	Western Europe
756	Western Europe	Switzerland	1873	7.42977	Western Europe
372	Western Europe	Ireland	1873	2.08444	Western Europe
578	Western Europe	Norway	1873	5.50129	Western Europe
752	Western Europe	Sweden	1873	5.49639	Western Europe
826	Western Europe	United Kingdom	1873	1.37019	Western Europe
380	Western Europe	Italy	1873	1.75471	Western Europe
620	Western Europe	Portugal	1873	0.484523	Western Europe
724	Western Europe	Spain	1873	3.60409	Western Europe
388	Latin America and Caribbean	Jamaica	1873	1.44181	Latin America and Caribean
780	Latin America and Caribbean	Trinidad and Tobago	1873	1.55261	Latin America and Caribean
328	Latin America and Caribbean	Guyana	1873	0.622136	#N/A
36	Western Offshoots	Australia	1873	2.40986	Western Offshoots
586	South and South-East Asia	Pakistan	1873	0.447794	South and South-East Asia
144	South and South-East Asia	Sri Lanka	1873	0.298441	South and South-East Asia
458	South and South-East Asia	Malaysia	1873	0.218768	South and South-East Asia
104	South and South-East Asia	Myanmar	1873	0.0184815	South and South-East Asia
